gene_name	Mutated_Patients	Frequency	MeanExpression	MutationScore	ExpressionScore	DriverScore
TRMT10A	3	0.0059405940594059	3.112359456793013	0.012244897959183591	0.24979501951577165	0.10726494658181882
FGF13	8	0.0158415841584158	2.7308497023423235	0.032653061224489716	0.21917540829108878	0.10726200005112935
BLM	6	0.0118811881188118	2.882931010651983	0.024489795918367183	0.2313813099244238	0.10724640152078983
LDHD	2	0.0039603960396039	3.1877288345053043	0.008163265306122325	0.25584409432152455	0.10723559691228321
PPP1R3C	3	0.0059405940594059	3.1113231349224337	0.012244897959183591	0.249711845304862	0.10723167689745497
ZNF568	7	0.0138613861386138	2.806127761630523	0.02857142857142845	0.22521715396669306	0.1072297187295343
SERPINI1	7	0.0138613861386138	2.805567725051577	0.02857142857142845	0.22517220596177606	0.1072117395275675
CFAP43	16	0.0316831683168316	2.118499564654325	0.06530612244897943	0.1700287667422133	0.10719518016627297
KCNJ5	9	0.0178217821782178	2.6521259784364752	0.03673469387755098	0.21285711683972852	0.107183663062422
LRR1	3	0.0059405940594059	3.1091822847381474	0.012244897959183591	0.2495400226985763	0.10716294785494068
MMP17	8	0.0158415841584158	2.7271963576421827	0.032653061224489716	0.21888219430879066	0.10714471445821011
FUT10	5	0.0099009900990099	2.955854204628702	0.02040816326530612	0.23723405634251798	0.10713852049619087
POLD4	1	0.0019801980198019	3.2609373609052232	0.00408163265306106	0.26171974124941244	0.10713687609160162
PANK1	4	0.0079207920792079	3.0319769521382876	0.016326530612244858	0.2433435958940145	0.10713335672495272
DPH6	4	0.0079207920792079	3.0314866916681367	0.016326530612244858	0.24330424805344233	0.10711761758872386
THOC3	1	0.0019801980198019	3.2598886000569154	0.00408163265306106	0.2616355686979423	0.10710320707101356
RERG	2	0.0039603960396039	3.1835877485861697	0.008163265306122325	0.2555117346913639	0.10710265306021896
BMERB1	1	0.0019801980198019	3.2582934638281116	0.00408163265306106	0.26150754457639214	0.1070519974223935
FAM133B	1	0.0019801980198019	3.258217195073391	0.00408163265306106	0.2615014233184403	0.10704954891921276
TMPRSS3	5	0.0099009900990099	2.9529645841092593	0.02040816326530612	0.23700213813895962	0.10704575321476752
CARD14	8	0.0158415841584158	2.7240303775071038	0.032653061224489716	0.21862809574446754	0.10704307503248084
JAM3	4	0.0079207920792079	3.0290241358312766	0.016326530612244858	0.2431066056564549	0.10703856062992888
ANXA9	2	0.0039603960396039	3.181473119273674	0.008163265306122325	0.25534201654739097	0.10703476580262979
SPOCD1	8	0.0158415841584158	2.7229778663310182	0.032653061224489716	0.21854362219524526	0.10700928561279194
SEMA3G	4	0.0079207920792079	3.027757590963516	0.016326530612244858	0.24300495396604063	0.10699789995376317
RAB23	1	0.0019801980198019	3.2563891802298706	0.00408163265306106	0.26135470858003956	0.10699086302385247
LTK	7	0.0138613861386138	2.798261481808002	0.02857142857142845	0.22458581380529413	0.10697718266497473
MORN1	6	0.0118811881188118	2.874279447683622	0.024489795918367183	0.23068694368218054	0.10696865502389252
FIGN	14	0.0277227722772277	2.2632681539777204	0.0571428571428571	0.18164775648209708	0.10694481687855309
SDS	3	0.0059405940594059	3.102298325392707	0.012244897959183591	0.24898752264743762	0.10694194783448521
NFKBID	7	0.0138613861386138	2.796011309918311	0.02857142857142845	0.22440521714256856	0.1069049439998845
ZNF280C	4	0.0079207920792079	3.0247364538947226	0.016326530612244858	0.24276248036890774	0.10690091051491002
CD69	1	0.0019801980198019	3.2535815672485326	0.00408163265306106	0.26112937222374716	0.10690072848133551
CCR2	6	0.0118811881188118	2.8712415451629667	0.024489795918367183	0.23044312450577473	0.10687112735333021
SUPT3H	3	0.0059405940594059	3.0983049214558402	0.012244897959183591	0.24866701583317272	0.10681374510877925
PGAP4	10	0.0198019801980198	2.5642732488001774	0.04081632653061224	0.20580614004265083	0.10681225193542769
CD300LF	4	0.0079207920792079	3.0214730417385094	0.016326530612244858	0.24250056200293302	0.10679614316852012
ACOXL	6	0.0118811881188118	2.868888101686765	0.024489795918367183	0.23025423936341624	0.10679557329638681
CCDC170	10	0.0198019801980198	2.5626295459014727	0.04081632653061224	0.20567421800621513	0.10675948312085341
NUFIP1	2	0.0039603960396039	3.1721952981071913	0.008163265306122325	0.25459738741585314	0.10673691415001466
GFOD1	4	0.0079207920792079	3.019049673766755	0.016326530612244858	0.24230606478684924	0.10671834428208662
NSUN7	1	0.0019801980198019	3.2476482042569095	0.00408163265306106	0.26065316613480977	0.10671024604576056
PYGO1	4	0.0079207920792079	3.01832123535751	0.016326530612244858	0.24224760101067574	0.10669495877161722
ZNF613	6	0.0118811881188118	2.865658852783236	0.024489795918367183	0.2299950629077155	0.1066919027141065
FGD1	11	0.0217821782178217	2.483667857426766	0.04489795918367331	0.19933682774414638	0.10667350660786254
IFI27L1	2	0.0039603960396039	3.16909305104576	0.008163265306122325	0.2543484040076026	0.10663732078671444
ZFP82	8	0.0158415841584158	2.71099928550621	0.032653061224489716	0.21758223265382404	0.10662472979622345
CD33	10	0.0198019801980198	2.5583162571455405	0.04081632653061224	0.20532803753961973	0.10662101093421525
FAHD2B	4	0.0079207920792079	3.014776998312712	0.016326530612244858	0.24196314390536242	0.10658117592949189
EBF1	12	0.0237623762376237	2.4044024553553385	0.04897959183673457	0.19297506171672235	0.10657777978872969
KLHL4	29	0.0574257425742574	1.1067609841289432	0.11836734693877547	0.08882758738756125	0.10655144311828979
SASS6	6	0.0118811881188118	2.860611194095176	0.024489795918367183	0.22958994260654306	0.10652985459363754
CD3D	2	0.0039603960396039	3.1655698271253576	0.008163265306122325	0.2540656333957331	0.10652421254196665
ZNF597	4	0.0079207920792079	3.01259235598701	0.016326530612244858	0.2417878065833212	0.1065110410006754
AIM2	8	0.0158415841584158	2.7073192219610283	0.032653061224489716	0.21728687424235213	0.10650658643163469
LGR6	15	0.0297029702970297	2.173110935665114	0.06122448979591837	0.1744118236084917	0.1064994233209477
BMP8A	1	0.0019801980198019	3.238031374510175	0.00408163265306106	0.25988132849599777	0.10640151099023575
EXOG	5	0.0099009900990099	2.9319565192592294	0.02040816326530612	0.235316050769537	0.10637131826699847
ENPP3	11	0.0217821782178217	2.4742199973983285	0.04489795918367331	0.19857855145474324	0.10637019609210129
TAF6L	2	0.0039603960396039	3.159454198307153	0.008163265306122325	0.25357479882434053	0.10632787871340961
ADAL	7	0.0138613861386138	2.777904849536379	0.02857142857142845	0.2229520097970627	0.10632366106168216
STK33	4	0.0079207920792079	3.0059328721672127	0.016326530612244858	0.24125332272507005	0.10629724745737494
IER5L	1	0.0019801980198019	3.2347486893023905	0.00408163265306106	0.25961786329317454	0.10629612490910646
TET1	19	0.0376237623762376	1.8612791758239338	0.07755102040816324	0.14938450217710814	0.10628441311574119
FAM167A	2	0.0039603960396039	3.1580437181779804	0.008163265306122325	0.25346159502629456	0.10628259719419123
SLFN12	4	0.0079207920792079	3.005464593146227	0.016326530612244858	0.2412157390947697	0.10628221400525481
FEZ1	6	0.0118811881188118	2.8519860388557037	0.024489795918367183	0.22889769582358613	0.10625295588045476
NPR2	4	0.0079207920792079	3.0043403035204004	0.016326530612244858	0.24112550467521646	0.1062461202374335
DISP3	35	0.0693069306930693	0.6393980533731903	0.14285714285714285	0.0513174816206085	0.1062412783625291
CEACAM19	4	0.0079207920792079	3.0037772845928092	0.016326530612244858	0.24108031730982443	0.10622804529127669
PHC1	3	0.0059405940594059	3.079320658665325	0.012244897959183591	0.2471433568985021	0.10620428153491099
TEDC1	1	0.0019801980198019	3.2316628448991076	0.00408163265306106	0.2593701963467175	0.10619705813052364
ZNF419	3	0.0059405940594059	3.0790334298459863	0.012244897959183591	0.2471203041857521	0.106195060449811
ZNF383	3	0.0059405940594059	3.078847405121403	0.012244897959183591	0.24710537401770669	0.10618908838259283
FAM110C	1	0.0019801980198019	3.2306961286063887	0.00408163265306106	0.2592926086135015	0.10616602303723725
PAQR5	4	0.0079207920792079	3.0016149762394932	0.016326530612244858	0.24090677249123454	0.10615862736384074
NMNAT1	3	0.0059405940594059	3.07742672497047	0.012244897959183591	0.24699135157558372	0.10614347940574365
HDX	16	0.0316831683168316	2.0855519293566434	0.06530612244897943	0.16738442076725857	0.10613744177629109
STOX2	2	0.0039603960396039	3.1531573212483006	0.008163265306122325	0.2530694174409751	0.10612572616006344
STAG3	14	0.0277227722772277	2.2376762911988184	0.0571428571428571	0.17959377783629893	0.10612322542023384
ALDH3B2	3	0.0059405940594059	3.075837307449244	0.012244897959183591	0.24686378643208245	0.10609245334834314
PLA2G4C	9	0.0178217821782178	2.6176302579636714	0.03673469387755098	0.21008852301618813	0.10607622553300584
HSD11B1	8	0.0158415841584158	2.692239274386337	0.032653061224489716	0.21607657194565077	0.10602246551295413
HOXA3	15	0.0297029702970297	2.1566896631969055	0.06122448979591837	0.17309386784739955	0.10597224101651084
CENPI	11	0.0217821782178217	2.46054112107751	0.04489795918367331	0.19748069780867578	0.1059310546336743
ZNF324	2	0.0039603960396039	3.1470501464476217	0.008163265306122325	0.25257926138101483	0.10592966373607933
B3GNT8	1	0.0019801980198019	3.223273621881721	0.00408163265306106	0.2586968852602437	0.10592773369593413
TMEM186	1	0.0019801980198019	3.222994448239253	0.00408163265306106	0.2586744790483531	0.10591877121117789
ZNF708	3	0.0059405940594059	3.069519112412205	0.012244897959183591	0.246356694087997	0.10588961641070896
ZNF239	7	0.0138613861386138	2.7641640009648616	0.02857142857142845	0.22184918231690326	0.10588253006961838
PRTFDC1	1	0.0019801980198019	3.2200841298538787	0.00408163265306106	0.25844089965369643	0.10582533945331522
ZNF880	1	0.0019801980198019	3.2193236085806145	0.00408163265306106	0.258379860937271	0.10580092396674505
OSGEPL1	2	0.0039603960396039	3.1420278520083964	0.008163265306122325	0.25217617679040877	0.1057684298998369
USP51	15	0.0297029702970297	2.1503275547797034	0.06122448979591837	0.1725832510570517	0.1057679943003717
GATA3	12	0.0237623762376237	2.3786761321211256	0.04897959183673457	0.19091029140224813	0.10575187166293999
CCNE1	5	0.0099009900990099	2.9124461089503337	0.02040816326530612	0.23375016373382387	0.10574496345271323
VCPKMT	2	0.0039603960396039	3.1403222209195887	0.008163265306122325	0.2520392844561427	0.10571367296613048
HOXA5	11	0.0217821782178217	2.4532070802715764	0.04489795918367331	0.19689207464619077	0.1056956053686803
PEX12	2	0.0039603960396039	3.1390267214898344	0.008163265306122325	0.2519353089000315	0.105672082743686
SAPCD2	1	0.0019801980198019	3.214478258602521	0.00408163265306106	0.2579909777413738	0.10564537068838617
GBGT1	3	0.0059405940594059	3.0616955887610984	0.012244897959183591	0.24572878549638338	0.10563845297406352
RP9	1	0.0019801980198019	3.213774173337732	0.00408163265306106	0.2579344685254878	0.10562276700203176
PSTPIP1	3	0.0059405940594059	3.0612038402776096	0.012244897959183591	0.24568931822927134	0.10562266606721869
CHRM3	23	0.0455445544554455	1.5349050382411984	0.09387755102040808	0.12319002329421976	0.10560253992993275
ZUP1	2	0.0039603960396039	3.135388190611516	0.008163265306122325	0.25164328386102947	0.10555527272808518
ADAMDEC1	4	0.0079207920792079	2.9822272371812333	0.016326530612244858	0.2393507309338063	0.10553621074086944
ZNF577	8	0.0158415841584158	2.676587861693845	0.032653061224489716	0.2148204044003381	0.10551999849482907
GLRB	6	0.0118811881188118	2.828882015712625	0.024489795918367183	0.22704338882851144	0.10551123308242488
CARF	1	0.0019801980198019	3.210279632208977	0.00408163265306106	0.2576539999672849	0.1055105795787506
ALG11	7	0.0138613861386138	2.752576403374072	0.02857142857142845	0.22091917271919606	0.1055105262305355
CBWD1	3	0.0059405940594059	3.0571724220742045	0.012244897959183591	0.24536576042601121	0.10549324294591464
RTN2	4	0.0079207920792079	2.980325931046785	0.016326530612244858	0.2391981339058752	0.10547517192969699
DZIP1L	12	0.0237623762376237	2.3696938710334	0.04897959183673457	0.19018938364244325	0.10546350855901805
ZFAND4	3	0.0059405940594059	3.0556435761323177	0.012244897959183591	0.24524305670004645	0.10544416145552873
DCC	30	0.0594059405940594	0.9951191641703591	0.12244897959183675	0.07986732075304268	0.10541631605631913
CEP76	5	0.0099009900990099	2.901480040100956	0.02040816326530612	0.23287003744369922	0.10539291293666336
ZNF557	2	0.0039603960396039	3.129988770814629	0.008163265306122325	0.25120993154672866	0.10538193180236485
ATP6V1E2	5	0.0099009900990099	2.9008291488152125	0.02040816326530612	0.23281779752614404	0.10537201696964128
PEMT	2	0.0039603960396039	3.1294847166487507	0.008163265306122325	0.25116947663721373	0.10536574983855888
E2F2	6	0.0118811881188118	2.823644939847822	0.024489795918367183	0.22662306608429922	0.10534310398474
GTPBP8	1	0.0019801980198019	3.203659054896148	0.00408163265306106	0.2571226387084	0.10529803507519665
DUOX2	11	0.0217821782178217	2.4398431285939215	0.04489795918367331	0.19581949655343814	0.10526657413157925
IGHV2-26	6	0.0118811881188118	2.820372880349685	0.024489795918367183	0.22636045369085928	0.10523805902736402
STAMBPL1	3	0.0059405940594059	3.0490421802572927	0.012244897959183591	0.24471323492517588	0.10523223274558051
SLC25A19	1	0.0019801980198019	3.201500597381921	0.00408163265306106	0.2569494029545048	0.10522874077363857
LY9	10	0.0198019801980198	2.513576993034636	0.04081632653061224	0.20173730661446493	0.10518471856415333
DSCAML1	28	0.0554455445544554	1.1401861655931118	0.1142857142857142	0.09151026076512912	0.10517553287748016
ATG10	1	0.0019801980198019	3.199665819173534	0.00408163265306106	0.2568021453948515	0.10516983774977726
ATL1	4	0.0079207920792079	2.9707157547693672	0.016326530612244858	0.23842683026820308	0.10516665047462816
METAP1D	5	0.0099009900990099	2.894145297344055	0.02040816326530612	0.232281357943295	0.10515744113650168
TSEN2	2	0.0039603960396039	3.122456604672779	0.008163265306122325	0.2506054070326039	0.10514012199671496
SH2D2A	5	0.0099009900990099	2.8931153120575837	0.02040816326530612	0.23219869230061882	0.1051243748794312
CDK20	2	0.0039603960396039	3.1215065310153216	0.008163265306122325	0.25052915502151696	0.10510962119228018
FBXW9	3	0.0059405940594059	3.04510717691576	0.012244897959183591	0.2443974152873293	0.10510590489044189
ARHGEF4	6	0.0118811881188118	2.815431315091039	0.024489795918367183	0.22596384834775604	0.10507941689012273
AZIN2	1	0.0019801980198019	3.1961570644146406	0.00408163265306106	0.2565205360641681	0.10505719401750388
ADGRB1	15	0.0297029702970297	2.127523935708536	0.06122448979591837	0.17075305420800846	0.10503591556075442
ADAMTS15	14	0.0277227722772277	2.203694625531391	0.0571428571428571	0.17686644156411913	0.1050322909113619
ZNF649	7	0.0138613861386138	2.7361423092848405	0.02857142857142845	0.2196001879069554	0.10498293230563924
GLMN	3	0.0059405940594059	3.0408556908638933	0.012244897959183591	0.24405619504717382	0.10496941679437968
ADAT2	2	0.0039603960396039	3.11482013908789	0.008163265306122325	0.24999251154405566	0.10489496380129566
PNMA8A	3	0.0059405940594059	3.038437478450509	0.012244897959183591	0.2438621116113174	0.10489178342003712
NKG7	1	0.0019801980198019	3.190404003070675	0.00408163265306106	0.25605880081454746	0.10487249991765563
KIAA1328	4	0.0079207920792079	2.960344687996984	0.016326530612244858	0.23759445828072184	0.10483370167963565
PIGF	2	0.0039603960396039	3.1127031143299644	0.008163265306122325	0.2498226011439034	0.10482699964123475
TRHDE	33	0.0653465346534653	0.7468483287025315	0.13469387755102033	0.05994133885672749	0.1047928620733032
PAMR1	11	0.0217821782178217	2.425073281474906	0.04489795918367331	0.1946340826253371	0.10479240856033883
SLC9B2	7	0.0138613861386138	2.729863066378663	0.02857142857142845	0.21909622182396668	0.10478134587244375
HIC1	1	0.0019801980198019	3.187391759259437	0.00408163265306106	0.2558170409818353	0.10477579598457075
MTRF1	2	0.0039603960396039	3.1104305664787906	0.008163265306122325	0.2496402086077214	0.10475404262676195
MTBP	7	0.0138613861386138	2.728811346978421	0.02857142857142845	0.219011811821923	0.10474758187162628
CCDC146	7	0.0138613861386138	2.7275475398057156	0.02857142857142845	0.21891037985631856	0.1047070090853845
RNF150	10	0.0198019801980198	2.497130663359359	0.04081632653061224	0.20041733978568746	0.10465673183264233
BCL2A1	1	0.0019801980198019	3.1828240882254577	0.00408163265306106	0.25545044403475575	0.10462915720573894
ZNF229	13	0.0257425742574257	2.2667141549739545	0.05306122448979584	0.18192432925527946	0.10460646639598929
NUDT18	1	0.0019801980198019	3.1812642132232147	0.00408163265306106	0.255325249945822	0.10457907957016545
MDGA1	9	0.0178217821782178	2.569143722357749	0.03673469387755098	0.20619703963322009	0.10451963217981862
GRID1	27	0.0534653465346534	1.1960277013688185	0.11020408163265294	0.09599204948925559	0.104519268775294
ZNF772	3	0.0059405940594059	3.0263596524323106	0.012244897959183591	0.2428927567447582	0.10450404147341344
SCN2A	33	0.0653465346534653	0.7362609350653431	0.13469387755102033	0.059091604680152746	0.1044529684026733
PIP5KL1	2	0.0039603960396039	3.100465913275401	0.008163265306122325	0.24884045498801147	0.10443414117887798
CD1E	19	0.0376237623762376	1.8021554283824128	0.07755102040816324	0.14463928625618808	0.10438632674737316
LENG1	2	0.0039603960396039	3.0984696483177143	0.008163265306122325	0.2486802366549473	0.10437005384565232
NTRK2	17	0.0336633663366336	1.9534759681855105	0.0693877551020407	0.15678412933038757	0.10434630479337945
SLC28A3	14	0.0277227722772277	2.1820208530993144	0.0571428571428571	0.1751269251352457	0.10433648433981255
FZD10	24	0.0475247524752475	1.4189470463105731	0.09795918367346934	0.11388334478891413	0.10432884811964725
ZNF273	3	0.0059405940594059	3.0207109777150745	0.012244897959183591	0.2424393994668414	0.10432269856224671
CRYAB	1	0.0019801980198019	3.1722753603189284	0.00408163265306106	0.25460381313306896	0.10429050484506423
