Driver	Source
BUB1	results/evidence/TP53/transcriptomics/DEGs.tsv
POLE2	results/evidence/TP53/transcriptomics/DEGs.tsv
CEP55	results/evidence/TP53/transcriptomics/DEGs.tsv
AC091825.3	results/evidence/TP53/transcriptomics/DEGs.tsv
GEN1	results/evidence/TP53/transcriptomics/DEGs.tsv
MCM2	results/evidence/TP53/transcriptomics/DEGs.tsv
TACC3	results/evidence/TP53/transcriptomics/DEGs.tsv
NSUN2	results/evidence/TP53/transcriptomics/DEGs.tsv
CYFIP2	results/evidence/TP53/transcriptomics/DEGs.tsv
EZH2	results/evidence/TP53/transcriptomics/DEGs.tsv
EMCN	results/evidence/TP53/transcriptomics/DEGs.tsv
FAM111B	results/evidence/TP53/transcriptomics/DEGs.tsv
LINC02478	results/evidence/TP53/transcriptomics/DEGs.tsv
NFE4	results/evidence/TP53/transcriptomics/DEGs.tsv
MCM4	results/evidence/TP53/transcriptomics/DEGs.tsv
PIMREG	results/evidence/TP53/transcriptomics/DEGs.tsv
SCUBE2	results/evidence/TP53/transcriptomics/DEGs.tsv
MAOA	results/evidence/TP53/transcriptomics/DEGs.tsv
TMEM220	results/evidence/TP53/transcriptomics/DEGs.tsv
MTUS1	results/evidence/TP53/transcriptomics/DEGs.tsv
AC110741.1	results/evidence/TP53/transcriptomics/DEGs.tsv
CCDC15	results/evidence/TP53/transcriptomics/DEGs.tsv
FEN1	results/evidence/TP53/transcriptomics/DEGs.tsv
GEM	results/evidence/TP53/transcriptomics/DEGs.tsv
POT1	results/evidence/TP53/transcriptomics/DEGs.tsv
CYSTM1	results/evidence/TP53/transcriptomics/DEGs.tsv
ADGRD1	results/evidence/TP53/transcriptomics/DEGs.tsv
KCNJ8	results/evidence/TP53/transcriptomics/DEGs.tsv
TEDC2	results/evidence/TP53/transcriptomics/DEGs.tsv
RCC2	results/evidence/TP53/transcriptomics/DEGs.tsv
CLDN18	results/evidence/TP53/transcriptomics/DEGs.tsv
EMC1	results/evidence/TP53/transcriptomics/DEGs.tsv
LINC00629	results/evidence/TP53/transcriptomics/DEGs.tsv
MTARC2	results/evidence/TP53/transcriptomics/DEGs.tsv
SLC30A2	results/evidence/TP53/transcriptomics/DEGs.tsv
DIO3OS	results/evidence/TP53/transcriptomics/DEGs.tsv
MTFR2	results/evidence/TP53/transcriptomics/DEGs.tsv
SUN3	results/evidence/TP53/transcriptomics/DEGs.tsv
C16orf89	results/evidence/TP53/transcriptomics/DEGs.tsv
ERCC6L	results/evidence/TP53/transcriptomics/DEGs.tsv
BRCA2	results/evidence/TP53/transcriptomics/DEGs.tsv
LINC01208	results/evidence/TP53/transcriptomics/DEGs.tsv
EXOC3-AS1	results/evidence/TP53/transcriptomics/DEGs.tsv
CCNB2	results/evidence/TP53/transcriptomics/DEGs.tsv
MLPH	results/evidence/TP53/transcriptomics/DEGs.tsv
EPB41L4A-AS1	results/evidence/TP53/transcriptomics/DEGs.tsv
SMC2	results/evidence/TP53/transcriptomics/DEGs.tsv
NOP53	results/evidence/TP53/transcriptomics/DEGs.tsv
LINC00337	results/evidence/TP53/transcriptomics/DEGs.tsv
HAT1	results/evidence/TP53/transcriptomics/DEGs.tsv
TUBG1	results/evidence/TP53/transcriptomics/DEGs.tsv
PLK4	results/evidence/TP53/transcriptomics/DEGs.tsv
SUV39H2	results/evidence/TP53/transcriptomics/DEGs.tsv
CCNE2	results/evidence/TP53/transcriptomics/DEGs.tsv
DLGAP5	results/evidence/TP53/transcriptomics/DEGs.tsv
RNF180	results/evidence/TP53/transcriptomics/DEGs.tsv
SECISBP2L	results/evidence/TP53/transcriptomics/DEGs.tsv
SGO1	results/evidence/TP53/transcriptomics/DEGs.tsv
STAT6	results/evidence/TP53/transcriptomics/DEGs.tsv
SNX30	results/evidence/TP53/transcriptomics/DEGs.tsv
MSMB	results/evidence/TP53/transcriptomics/DEGs.tsv
GINS3	results/evidence/TP53/transcriptomics/DEGs.tsv
KNTC1	results/evidence/TP53/transcriptomics/DEGs.tsv
SLC25A38	results/evidence/TP53/transcriptomics/DEGs.tsv
MYO16-AS1	results/evidence/TP53/transcriptomics/DEGs.tsv
WNT16	results/evidence/TP53/transcriptomics/DEGs.tsv
HENMT1	results/evidence/TP53/transcriptomics/DEGs.tsv
CKM	results/evidence/TP53/transcriptomics/DEGs.tsv
CPB2	results/evidence/TP53/transcriptomics/DEGs.tsv
MAST4	results/evidence/TP53/transcriptomics/DEGs.tsv
ZBTB4	results/evidence/TP53/transcriptomics/DEGs.tsv
PIGW	results/evidence/TP53/transcriptomics/DEGs.tsv
CYB5D2	results/evidence/TP53/transcriptomics/DEGs.tsv
RAD51AP1	results/evidence/TP53/transcriptomics/DEGs.tsv
MSL3P1	results/evidence/TP53/transcriptomics/DEGs.tsv
ZNF367	results/evidence/TP53/transcriptomics/DEGs.tsv
RBPMS	results/evidence/TP53/transcriptomics/DEGs.tsv
GLMN	results/evidence/TP53/transcriptomics/DEGs.tsv
CCT8P1	results/evidence/TP53/transcriptomics/DEGs.tsv
USP1	results/evidence/TP53/transcriptomics/DEGs.tsv
C10orf88B	results/evidence/TP53/transcriptomics/DEGs.tsv
AC144652.1	results/evidence/TP53/transcriptomics/DEGs.tsv
ZDHHC3	results/evidence/TP53/transcriptomics/DEGs.tsv
TMEM125	results/evidence/TP53/transcriptomics/DEGs.tsv
OBP2A	results/evidence/TP53/transcriptomics/DEGs.tsv
PPAT	results/evidence/TP53/transcriptomics/DEGs.tsv
EIF4EBP1	results/evidence/TP53/transcriptomics/DEGs.tsv
PKMYT1	results/evidence/TP53/transcriptomics/DEGs.tsv
SKA3	results/evidence/TP53/transcriptomics/DEGs.tsv
MAD2L2	results/evidence/TP53/transcriptomics/DEGs.tsv
ORC1	results/evidence/TP53/transcriptomics/DEGs.tsv
TMPOP2	results/evidence/TP53/transcriptomics/DEGs.tsv
AL928654.4	results/evidence/TP53/transcriptomics/DEGs.tsv
CENPQ	results/evidence/TP53/transcriptomics/DEGs.tsv
EIF4B	results/evidence/TP53/transcriptomics/DEGs.tsv
CCNF	results/evidence/TP53/transcriptomics/DEGs.tsv
SFTPD	results/evidence/TP53/transcriptomics/DEGs.tsv
ANLN	results/evidence/TP53/transcriptomics/DEGs.tsv
KIF22	results/evidence/TP53/transcriptomics/DEGs.tsv
CA2	results/evidence/TP53/transcriptomics/DEGs.tsv
DSCC1	results/evidence/TP53/transcriptomics/DEGs.tsv
ALKAL2	results/evidence/TP53/transcriptomics/DEGs.tsv
FANCD2	results/evidence/TP53/transcriptomics/DEGs.tsv
MELK	results/evidence/TP53/transcriptomics/DEGs.tsv
CCNDBP1	results/evidence/TP53/transcriptomics/DEGs.tsv
CPSF4	results/evidence/TP53/transcriptomics/DEGs.tsv
BMP6	results/evidence/TP53/transcriptomics/DEGs.tsv
RASD1	results/evidence/TP53/transcriptomics/DEGs.tsv
CENPW	results/evidence/TP53/transcriptomics/DEGs.tsv
FBXO25	results/evidence/TP53/transcriptomics/DEGs.tsv
SPC25	results/evidence/TP53/transcriptomics/DEGs.tsv
WDR62	results/evidence/TP53/transcriptomics/DEGs.tsv
CHD5	results/evidence/TP53/transcriptomics/DEGs.tsv
CDKN3	results/evidence/TP53/transcriptomics/DEGs.tsv
ZNF530	results/evidence/TP53/transcriptomics/DEGs.tsv
MRPS27	results/evidence/TP53/transcriptomics/DEGs.tsv
AL109615.3	results/evidence/TP53/transcriptomics/DEGs.tsv
OTULINL	results/evidence/TP53/transcriptomics/DEGs.tsv
LINC01213	results/evidence/TP53/transcriptomics/DEGs.tsv
ZNF710	results/evidence/TP53/transcriptomics/DEGs.tsv
MAP3K13	results/evidence/TP53/transcriptomics/DEGs.tsv
MAST2	results/evidence/TP53/transcriptomics/DEGs.tsv
BRIP1	results/evidence/TP53/transcriptomics/DEGs.tsv
NCAPH	results/evidence/TP53/transcriptomics/DEGs.tsv
PMM1	results/evidence/TP53/transcriptomics/DEGs.tsv
CALML5	results/evidence/TP53/transcriptomics/DEGs.tsv
RAD51C	results/evidence/TP53/transcriptomics/DEGs.tsv
INSL6	results/evidence/TP53/transcriptomics/DEGs.tsv
SIAE	results/evidence/TP53/transcriptomics/DEGs.tsv
ACTG1P25	results/evidence/TP53/transcriptomics/DEGs.tsv
MECOM	results/evidence/TP53/transcriptomics/DEGs.tsv
RASAL2-AS1	results/evidence/TP53/transcriptomics/DEGs.tsv
SHCBP1	results/evidence/TP53/transcriptomics/DEGs.tsv
ZNF850	results/evidence/TP53/transcriptomics/DEGs.tsv
TUBB	results/evidence/TP53/transcriptomics/DEGs.tsv
LAMP5	results/evidence/TP53/transcriptomics/DEGs.tsv
AADAC	results/evidence/TP53/transcriptomics/DEGs.tsv
PARM1	results/evidence/TP53/transcriptomics/DEGs.tsv
AC079610.1	results/evidence/TP53/transcriptomics/DEGs.tsv
CCNA2	results/evidence/TP53/transcriptomics/DEGs.tsv
LRRC42	results/evidence/TP53/transcriptomics/DEGs.tsv
ZNF330	results/evidence/TP53/transcriptomics/DEGs.tsv
RBM28	results/evidence/TP53/transcriptomics/DEGs.tsv
CDC20	results/evidence/TP53/transcriptomics/DEGs.tsv
PHF13	results/evidence/TP53/transcriptomics/DEGs.tsv
MEG3	results/evidence/TP53/transcriptomics/DEGs.tsv
SNHG8	results/evidence/TP53/transcriptomics/DEGs.tsv
LPAL2	results/evidence/TP53/transcriptomics/DEGs.tsv
KIF4A	results/evidence/TP53/transcriptomics/DEGs.tsv
DBF4B	results/evidence/TP53/transcriptomics/DEGs.tsv
NRG3	results/evidence/TP53/transcriptomics/DEGs.tsv
