gene_id	gene_name	gene_type	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
185	FMO3	protein_coding	545.775660011533	-0.288540898584751	0.109138937567124	-2.64379427742999	0.00819824666805293	0.020313499755802
11740	GSTA4	protein_coding	1272.42399160761	-0.24251585343754	0.0917579558462936	-2.64299538062711	0.00821761564142528	0.0203593735835312
12121	GXYLT2	protein_coding	484.317682600787	0.268553506591053	0.101619515678955	2.64273554933571	0.0082239239795636	0.0203728831425494
21446	AC012254.3	lncRNA	8.56803183660321	0.382502489168182	0.144742178599526	2.64264703536412	0.0082260739636204	0.020376089595346
8573	ADGRL3	protein_coding	157.74568819587	0.404792169061121	0.153186213374894	2.64248433421661	0.00823002724918564	0.0203837617173278
10781	LARP6	protein_coding	326.498964671356	0.28120109786074	0.106431125492442	2.64209456171455	0.00823950479272792	0.0204051130547029
20180	AC007406.3	lncRNA	26.6243551651592	-0.263169196763138	0.0996080346824538	-2.64204787898998	0.00824064056479368	0.0204058037236141
5305	CCDC93	protein_coding	1676.96315827501	0.113572011299151	0.0429882911620013	2.64192895854258	0.00824353448486398	0.0204108473926545
5862	TAF4	protein_coding	1315.04501640692	0.133766477289895	0.0506363048637551	2.6417108762145	0.00824884386484773	0.0204218700278079
3051	GSDME	protein_coding	727.362664493766	0.27584256246223	0.104420202694201	2.6416589447738	0.00825010862621937	0.0204228780483148
3920	RNF130	protein_coding	3397.81786704665	-0.126272028356504	0.0478092819919128	-2.64116136230332	0.00826223576992996	0.0204507725418472
11271	MLKL	protein_coding	994.385380256022	-0.181701075332579	0.0688278253749293	-2.63993630981059	0.00829216090952599	0.020522710444757
3082	CPVL	protein_coding	1673.57157097417	-0.271472778485721	0.102842832473516	-2.63968593587335	0.00829828887519493	0.0205357426243263
16883	RPL23AP2	processed_pseudogene	11.7356516127197	-0.222860027626726	0.084428465833339	-2.63963137819714	0.0082996247256801	0.0205369142993917
18398	HSPB1P1	processed_pseudogene	87.8953845494451	0.301137490411886	0.114086082345303	2.63956377694203	0.00830128021646612	0.0205388765792129
5309	GTF2F1	protein_coding	3407.15805122654	-0.10624738298243	0.0402547215620014	-2.63937691927107	0.00830585772108192	0.0205480672937715
7265	PDX1	protein_coding	65.6218663709902	-0.934221100122901	0.354040572916652	-2.63874022241749	0.00832147202361372	0.0205835095691058
16497	PTGES3P2	processed_pseudogene	10.2900278689466	0.310000657202825	0.117481351145515	2.63872226681197	0.00832191274592051	0.0205835095691058
11772	KYAT1	protein_coding	7.42448638984289	0.28756208497569	0.108983040668216	2.6385948053251	0.00832504190239592	0.0205891107969318
2903	GPI	protein_coding	14756.3979054071	0.163765462236994	0.0620786832420349	2.63803053938014	0.00833890717751906	0.0206212601791733
2819	MAN2B1	protein_coding	4358.59189992245	-0.128515423160393	0.0487186391016684	-2.6379107776841	0.00834185264621845	0.0206264021303132
22183	AC005776.2	lncRNA	23.5087233158538	0.216705956428366	0.0821609332620414	2.63757905155741	0.00835001611574952	0.0206444439140842
22642	AC087633.2	transcribed_processed_pseudogene	10.4282967571412	-0.278657007829111	0.105660155879807	-2.63729506651585	0.00835701039883549	0.0206595915745737
9704	ZNF394	protein_coding	1063.05708608204	0.0975387743619163	0.0369849553443838	2.63725543139604	0.00835798699101767	0.0206598611380626
23727	AC083862.2	lncRNA	57.9327955339008	0.18974498290375	0.0719504968762739	2.63716014678864	0.00836033518019559	0.0206635207038067
3787	BACH2	protein_coding	198.943883787803	0.243375812950323	0.0923050688041811	2.63664624384419	0.00837300995656309	0.0206927001977577
20416	AL583810.2	lncRNA	10.8741665016353	0.353799185131041	0.134196229413926	2.63643163951911	0.00837830799076989	0.0207036449613152
11470	SCN9A	protein_coding	562.904429347449	-0.315886175418053	0.119842552173732	-2.63584319332689	0.00839285061565712	0.0207374294004211
12070	CCL19	protein_coding	1141.6253597675	-0.383827249589967	0.14562552347693	-2.63571412775571	0.00839604330832316	0.0207431658205631
12402	DNAH12	protein_coding	164.491409473262	-0.478182241034263	0.181438995723631	-2.63549872025655	0.00840137425921978	0.0207541832582012
3476	DHX15	protein_coding	6358.88389566886	0.101400764771497	0.038475507653075	2.63546268669943	0.0084022663209229	0.020754234017888
1297	MCAM	protein_coding	4432.679643317	0.221939012933347	0.0842261481340602	2.63503695527063	0.00841281232029284	0.0207781282509286
20748	AC120498.4	lncRNA	12.8984617407307	0.590027780388898	0.223921196132827	2.63497958468791	0.00841423437959306	0.0207794853796152
12137	TRMT112	protein_coding	5353.35515179819	0.1508309827821	0.0572472903626654	2.63472702073017	0.00842049730387925	0.0207927958103049
13410	HHIPL1	protein_coding	210.348941637195	0.257432155993888	0.0977163770721632	2.6344832228458	0.00842654680692487	0.0208055765329299
10166	CDS1	protein_coding	2320.839536797	-0.15890300261312	0.0603301273308087	-2.63389138467761	0.00844124861657045	0.0208397153799511
