file_id,file_name,file_size,workflow,patient_count
e6eba534-2f5c-4001-a45f-aedea1b56a81,1da0bfb1-2d97-46f0-8936-5f994af9c44d.wxs.aliquot_ensemble_masked.maf.gz,14309,Aliquot Ensemble Somatic Variant Merging and Masking,1
754193ef-252a-4e6e-a409-fd18e5c204f8,1e1db7e6-ca67-4c95-b9ca-824ecb607bd9.wxs.aliquot_ensemble_masked.maf.gz,24651,Aliquot Ensemble Somatic Variant Merging and Masking,1
84c239c8-71c5-4b89-8522-c9368950e2b1,1e496d8c-0ab1-4462-b2e2-a48136ab138e.wxs.aliquot_ensemble_masked.maf.gz,112200,Aliquot Ensemble Somatic Variant Merging and Masking,1
b6171ad0-d84d-46c2-adaa-500b7b45bbbb,1e6b8d4b-6a0f-4c9d-af8c-5a6f592aa5fb.wxs.aliquot_ensemble_masked.maf.gz,23069,Aliquot Ensemble Somatic Variant Merging and Masking,1
b1211dbb-5d1a-48c2-8ff5-f92a0bbbd232,1e76b510-baea-41cf-b6be-365060c7a45d.wxs.aliquot_ensemble_masked.maf.gz,38847,Aliquot Ensemble Somatic Variant Merging and Masking,1
f09497c7-2fbe-4355-81c7-bfa2dea95b9a,1e99bf12-cf11-4b19-b4e7-fd81306cc2fb.wxs.aliquot_ensemble_masked.maf.gz,177392,Aliquot Ensemble Somatic Variant Merging and Masking,1
9b3d7404-46e3-4966-a5ce-7578ffbd6e22,1f57797f-0688-4767-8e44-3195c340f48c.wxs.aliquot_ensemble_masked.maf.gz,230429,Aliquot Ensemble Somatic Variant Merging and Masking,1
4b32ea73-bae1-4655-947a-a71d6fa8b08c,1fe23d5b-78f2-4d73-9dd0-5ad0247db458.wxs.aliquot_ensemble_masked.maf.gz,74744,Aliquot Ensemble Somatic Variant Merging and Masking,1
d9b6674d-cad6-40bc-8902-036b8c1dfdc1,201b845c-183a-43b1-8fae-1cd17a3dcedd.wxs.aliquot_ensemble_masked.maf.gz,342668,Aliquot Ensemble Somatic Variant Merging and Masking,1
9b2cf63c-3857-4696-a6a3-dbe92f447ab0,20c35f8f-5686-49a4-8c35-f25ac1cc53f1.wxs.aliquot_ensemble_masked.maf.gz,123860,Aliquot Ensemble Somatic Variant Merging and Masking,1
b54e06a8-fda6-4b84-bc02-b05c3c21b27c,20f884c7-1ac3-426a-8a51-aa3988bbde02.wxs.aliquot_ensemble_masked.maf.gz,126658,Aliquot Ensemble Somatic Variant Merging and Masking,1
c637fff5-ea5c-4339-948a-269ff75d1899,211adb3c-94b0-4103-87ef-26a3e2b047ef.wxs.aliquot_ensemble_masked.maf.gz,4620,Aliquot Ensemble Somatic Variant Merging and Masking,1
4b2e43e5-e9c7-478f-ac1c-cc5494b5cc8f,213c9ec5-b8c5-4885-a56b-9c2eb790e018.wxs.aliquot_ensemble_masked.maf.gz,11134,Aliquot Ensemble Somatic Variant Merging and Masking,1
c1e449cd-167f-41bf-9a90-f1426c88e1da,21b53a70-5a74-49b3-bf88-957cded57e82.wxs.aliquot_ensemble_masked.maf.gz,152141,Aliquot Ensemble Somatic Variant Merging and Masking,1
