Driver	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
COL4A1	GO:0072078	nephron tubule morphogenesis	7/376	76/18860	0.0921052631578947	4.619960806271	4.50995177055612	0.0007945096782239	0.048937046446774	0.0432712542587506	IRX1/SOX8/GREB1L/AGTR2/TMEM59L/LHX1/FOXD1	7
COL4A1	GO:0030900	forebrain development	19/376	419/18860	0.045346062052506	2.27453917635708	3.76290487440173	0.000801542732091	0.048937046446774	0.0432712542587506	CHD5/NRG3/CDK5R2/POU3F2/CNTNAP2/CRTAC1/GRIA1/ERBB4/LHX2/PITX2/LHX5/IGF2BP1/FOXB1/SLC6A3/LHX1/POU4F1/HMGA2/SIX3/NR0B1	19
ACTG1	GO:0007586	digestion	17/376	148/18860	0.114864864864865	5.76157274295572	8.294237168135	6.82372214924624e-09	2.33303060282729e-05	2.06291894869844e-05	PGC/MUC6/CHIA/TFF1/CAPN9/AQP5/TFF2/CLDN2/PRSS2/NR1I2/APOA1/NMU/PRSS1/MUC2/TFF3/SLC9A4/VSIG1	17
ACTG1	GO:0019731	antibacterial humoral response	12/376	78/18860	0.153846153846154	7.71685761047463	8.47808561438883	4.40107951988358e-08	7.52364543924099e-05	6.65257914795034e-05	PGC/BPIFA1/SLPI/ELANE/WFDC12/CTSG/SPINK5/PLA2G1B/DMBT1/CALCA/KLK5/LGALS4	12
ACTG1	GO:0030277	maintenance of gastrointestinal epithelium	7/376	27/18860	0.259259259259259	13.0043341213554	8.90257162579729	7.45303243023313e-07	0.0007796363206763	0.0006893722427248	MUC6/TFF1/TFF2/NR1I2/MUC2/TFF3/VSIG1	7
ACTG1	GO:0019730	antimicrobial humoral response	16/376	184/18860	0.0869565217391304	4.36170212765957	6.53554005482044	9.1212204817355e-07	0.0007796363206763	0.0006893722427248	PGC/BPIFA1/SLPI/PRSS2/ELANE/WFDC12/CTSG/SPINK5/PGLYRP3/IL36RN/AZU1/PLA2G1B/DMBT1/CALCA/KLK5/LGALS4	16
ACTG1	GO:0002775	antimicrobial peptide production	5/376	11/18860	0.454545454545455	22.7998065764023	10.3147830614313	1.28372575758448e-06	0.0008778116730362	0.0007761811317437	PGC/ELANE/SPINK5/KLK5/LGALS4	5
ACTG1	GO:0042403	thyroid hormone metabolic process	7/376	31/18860	0.225806451612903	11.3263555250515	8.20671903612902	2.06033540300826e-06	0.0011571081846672	0.0010231414868503	DUOX2/DUOXA2/DUOX1/DUOXA1/CRYM/FOXE1/CGA	7
ACTG1	GO:0042445	hormone metabolic process	18/376	246/18860	0.0731707317073171	3.67021276595745	6.01241347461067	2.36904278814584e-06	0.0011571081846672	0.0010231414868503	DUOX2/PCSK2/DUOXA2/DUOX1/DUOXA1/BMP6/DHRS2/CMA1/CYP2C9/CTSG/ACE2/ADH1B/CRYM/PCSK1/FOXE1/HSD17B2/UGT2B15/CGA	18
ACTG1	GO:0006590	thyroid hormone generation	6/376	22/18860	0.272727272727273	13.6798839458414	8.48720115605798	3.43581234702223e-06	0.0013222555332064	0.0011691685446249	DUOX2/DUOXA2/DUOX1/DUOXA1/FOXE1/CGA	6
