Gene	STRING_id	Degree	Betweenness	Closeness	Eigenvector	PageRank	CompositeScore	Rank	Percentile
EREG	9606.ENSP00000244869	12	0.00445913980262303	0.230769230769231	0.00667588871173972	0.00339575756930497	0.0466199621031178	143	0.330233
WIF1	9606.ENSP00000286574	10	0.00469440383003568	0.278589853826311	0.0197038434598787	0.00276706865244311	-0.00632942897377164	144	0.332558
KCNE4	9606.ENSP00000281830	8	0.0092360385025207	0.280762564991335	0.0223522791279766	0.00240698867097343	-0.0167462546479607	145	0.334884
COL2A1	9606.ENSP00000369889	10	0.003531000359753	0.25253312548714	0.0260364282453822	0.00309835009161855	-0.0172719469085303	146	0.337209
GABRA3	9606.ENSP00000359337	12	0.00162910419906296	0.260032102728732	0.0260620805236337	0.00284795812731022	-0.0369373524179241	147	0.339535
GRIK3	9606.ENSP00000362183	12	0.00109424483216776	0.266886326194399	0.0266222559221979	0.00281862146743608	-0.0405745174008005	148	0.34186
RAB3B	9606.ENSP00000360718	6	0.010712377908399	0.283216783216783	0.0386224199715736	0.00212433257810406	-0.0578068903054965	149	0.344186
SCGB3A1	9606.ENSP00000292641	10	0.000127916875762611	0.263628966639544	0.0900032482531158	0.00201417000393465	-0.0580308683219631	150	0.346512
HCN4	9606.ENSP00000261917	10	0.00504896354252924	0.227848101265823	0.00218446365890496	0.0035166980697593	-0.099565147954623	151	0.348837
SCG3	9606.ENSP00000220478	10	0.000625280411736666	0.263414634146341	0.046427878337042	0.00270093451575947	-0.132720863533146	152	0.351163
ANXA10	9606.ENSP00000352248	10	0.000370053536863971	0.272497897392767	0.0710957024013071	0.00209723921468445	-0.137756442119475	153	0.353488
HTR2C	9606.ENSP00000276198	12	0.000490327806795526	0.261290322580645	0.0225710168922272	0.00282200391114415	-0.152129981894943	154	0.355814
CDHR5	9606.ENSP00000380676	8	0.00905719301855831	0.235294117647059	0.00288113772034065	0.00311471189554544	-0.153635405280015	155	0.35814
ALPG	9606.ENSP00000295453	8	0.00708856323783538	0.2592	0.0105288723473383	0.00292713240120503	-0.157144820629167	156	0.360465
CGA	9606.ENSP00000482232	8	0.00718717471994201	0.211764705882353	0.00235059517807521	0.00354237547084075	-0.219071184350959	157	0.362791
HTR1B	9606.ENSP00000358963	10	0.00145681635222036	0.271812080536913	0.0449656755726041	0.0022832461335354	-0.240255270485268	158	0.365116
ALDOB	9606.ENSP00000497767	6	0.00176309802988821	0.310642377756472	0.0818754077000324	0.00172236308664268	-0.253706144449537	159	0.367442
ENAM	9606.ENSP00000379383	6	0.00144365226463702	0.312138728323699	0.0865867486021754	0.00164419785590864	-0.256494776343001	160	0.369767
HMGA2	9606.ENSP00000437621	8	0.00753820910570426	0.264705882352941	0.0136595484126898	0.00251185000204904	-0.260439024447638	161	0.372093
FOXD3	9606.ENSP00000360157	10	0.00243495202405341	0.259615384615385	0.00763725494212851	0.00299189262833078	-0.281147394119729	162	0.374419
CRABP1	9606.ENSP00000299529	8	0.0052157460087097	0.271129707112971	0.0170638868488958	0.00260674770004781	-0.298514924281711	163	0.376744
MAGEC2	9606.ENSP00000354660	12	0	0.247328244274809	0.0115872115060862	0.00297912051244566	-0.301176789005689	164	0.37907
CSAG1	9606.ENSP00000359310	12	0	0.247328244274809	0.0115872115060862	0.00297912051244489	-0.301176789006053	165	0.381395
MAGEA12	9606.ENSP00000377447	12	0	0.247328244274809	0.0115872115060862	0.00297912051244408	-0.301176789006435	166	0.383721
MAGEA6	9606.ENSP00000480637	12	0	0.247328244274809	0.0115872115060862	0.00297912051244237	-0.301176789007246	167	0.386047
FOXE1	9606.ENSP00000364265	10	0.00173056539560268	0.261079774375504	0.0195711093339258	0.00269029857988117	-0.343940452773442	168	0.388372
PCSK2	9606.ENSP00000262545	8	0.00360135279954859	0.260240963855422	0.0404410813171442	0.0023723797003799	-0.349252522008183	169	0.390698
CEACAM8	9606.ENSP00000244336	8	1.4344529005803e-05	0.261924009700889	0.0917142128077352	0.00172854144302459	-0.374844350231167	170	0.393023
RIMS2	9606.ENSP00000427018	6	0.00699300699300699	0.221462747778537	0.00282494826552459	0.00334956105558318	-0.442572456452782	171	0.395349
